Img,Idx,X,Y,Area,Mean,StdDev,IntDen,RawIntDen,Round,Circ.,AR,Solidity
exemple.tif - C=0	Nuc_001_Chr_001	45.026189630	3.252547912	0.397941060	387.791139241	81.640352658	154.318017200	61271.000000000	0.618163046	0.863874192	1.617696183	0.908045977
exemple.tif - C=0	Nuc_001_Chr_002	45.214849506	5.015123878	0.420608589	392.473053892	95.805702874	165.077537519	65543.000000000	0.278359558	0.491319715	3.592475887	0.753950339
exemple.tif - C=0	Nuc_001_Chr_003	42.026995219	4.872174455	0.350087389	577.280575540	99.431574956	202.098649217	80242.000000000	0.848728470	0.924971355	1.178233127	0.920529801
exemple.tif - C=0	Nuc_001_Chr_004	43.403111241	4.810993077	0.166228544	572.484848485	96.072607546	95.163322973	37784.000000000	0.831890069	0.934008254	1.202081907	0.891891892
exemple.tif - C=0	Nuc_001_Chr_005	44.242872048	5.949744536	0.463425032	554.255434783	84.246093927	256.855842864	101983.000000000	0.713092032	0.873289569	1.402343533	0.926952141
exemple.tif - C=0	Nuc_001_Chr_006	40.049057020	6.490367220	0.639728034	415.358267717	97.712905229	265.716327995	105501.000000000	0.540435047	0.774806377	1.850361121	0.905525847
exemple.tif - C=0	Nuc_001_Chr_007	41.770462278	6.816465426	0.768177364	577.498360656	97.918606257	443.621168180	176137.000000000	0.503986017	0.754885421	1.984182033	0.891812865
exemple.tif - C=0	Nuc_002_Chr_001	24.368072621	16.217899049	0.088151501	595.428571429	84.395527382	52.487922156	20840.000000000	0.877270919	1.000000000	1.139898722	0.921052632
exemple.tif - C=0	Nuc_002_Chr_002	23.077561034	17.161824177	0.367717689	708.602739726	132.736580175	260.565761738	103456.000000000	0.776313271	0.935542918	1.288139772	0.921135647
exemple.tif - C=0	Nuc_002_Chr_003	24.261299055	18.025536960	0.178821616	589.774647887	117.414187167	105.464455488	41874.000000000	0.842696565	1.000000000	1.186666757	0.922077922
exemple.tif - C=0	Nuc_002_Chr_004	22.784669860	19.266264272	0.397941060	695.778481013	115.364922166	276.878826604	109933.000000000	0.866332818	0.894521931	1.154290799	0.908045977
exemple.tif - C=0	Nuc_002_Chr_005	22.502664202	19.754587045	0.156154087	735.903225806	102.957688218	114.914296368	45626.000000000	0.711507599	0.877401694	1.405466366	0.885714286
exemple.tif - C=0	Nuc_002_Chr_006	21.152723377	20.751827415	0.214082216	489.329411765	88.579448900	104.756724868	41593.000000000	0.684078113	0.921739250	1.461821364	0.904255319
exemple.tif - C=0	Nuc_002_Chr_007	21.692202074	21.906588007	0.259417274	663.310679612	111.291000740	172.074248064	68321.000000000	0.925136210	0.964793798	1.080921911	0.919642857
exemple.tif - C=0	Nuc_002_Chr_008	22.275113986	21.945068562	0.214082216	593.247058824	134.696829415	127.003645041	50426.000000000	0.946761811	0.968294040	1.056231872	0.918918919
exemple.tif - C=0	Nuc_003_Chr_001	36.855476195	18.300588259	0.337494317	522.231343284	99.761890518	176.250110585	69979.000000000	0.928184857	0.891699004	1.077371595	0.905405405
exemple.tif - C=0	Nuc_003_Chr_002	37.144659817	18.888231582	0.282084802	467.375000000	76.508861290	131.839384511	52346.000000000	0.792108231	0.862963691	1.262453741	0.914285714
exemple.tif - C=0	Nuc_003_Chr_003	35.446361097	19.218519223	0.191414687	488.750000000	105.212435894	93.553928431	37145.000000000	0.917092946	0.944488790	1.090402019	0.904761905
exemple.tif - C=0	Nuc_003_Chr_004	36.020118388	20.623706026	0.214082216	529.305882353	97.447913258	113.314976283	44991.000000000	0.940629106	0.968294040	1.063118283	0.909090909
exemple.tif - C=0	Nuc_004_Chr_001	12.517373566	27.899453377	0.476018104	672.343915344	97.906779521	320.047875824	127073.000000000	0.644840777	0.880337002	1.550770415	0.926470588
exemple.tif - C=0	Nuc_004_Chr_002	15.499326049	28.139455671	0.453350575	666.766666667	123.259915236	302.279051889	120018.000000000	0.798083042	0.947101808	1.253002442	0.947368421
exemple.tif - C=0	Nuc_004_Chr_003	11.484311110	28.638276536	0.329938474	699.091603053	95.862036312	230.657216843	91581.000000000	0.894087094	0.942214073	1.118459272	0.935714286
exemple.tif - C=0	Nuc_004_Chr_004	14.676361854	29.937727346	0.465943647	702.291891892	120.581026291	327.228445213	129924.000000000	0.687557020	0.889864690	1.454424828	0.922693267
exemple.tif - C=0	Nuc_004_Chr_005	16.469435677	30.227735998	0.974703737	898.322997416	137.885311520	875.598782418	347651.000000000	0.881186785	0.927100785	1.134833178	0.949693252
exemple.tif - C=0	Nuc_004_Chr_006	13.512884544	30.341257977	0.352606003	735.664285714	105.814525578	259.399643314	102993.000000000	0.956074228	0.957259674	1.045943893	0.924092409
exemple.tif - C=0	Nuc_004_Chr_007	12.810842937	30.917511592	0.206526373	729.243902439	100.346998082	150.608098326	59798.000000000	0.957455577	0.982521162	1.044434879	0.931818182
exemple.tif - C=0	Nuc_004_Chr_008	17.528670153	31.217443969	0.370236303	895.122448980	123.548553927	331.406826349	131583.000000000	0.925769106	0.978207116	1.080182946	0.945337621
exemple.tif - C=0	Nuc_004_Chr_009	16.711870688	32.169096429	0.130967944	736.807692308	98.561225813	96.498188556	38314.000000000	1.000000000	1.000000000	1.000000000	0.928571429
exemple.tif - C=0	Nuc_004_Chr_010	19.275421294	33.200049977	0.589355748	647.987179487	139.263805636	381.894968745	151629.000000000	0.643258678	0.893877526	1.554584545	0.943548387
exemple.tif - C=0	Nuc_004_Chr_011	13.599905784	34.088480479	0.425645818	736.266272189	162.945342460	313.388659597	124429.000000000	0.592764210	0.859825403	1.687011434	0.918478261
